method,circuit,resynthesis,error,max_depth,one_tree_per_output,mred,v_mred,med,v_med,hd,v_hd,wce,v_wce,time,area
outconst,CLA_16b,True,0.05,,False,0.042,0.042,2044.663,2041.848,5.988,6.012,4095,4095,5.17472951200034,0.503676470588235
outconst,CLA_16b,False,0.1,,False,0.084,0.084,4093.057,4088.273,6.488,6.511,8191,8191,5.0944157299964,0.670955882352941
outconst,CLA_16b,True,0.1,,False,0.084,0.084,4093.057,4088.273,6.488,6.511,8191,8191,8.7899222799897,0.465073529411765
outconst,Mul_16b,False,0.01,,False,0.007,0.004,526406.919,508532.126,9.605,9.512,1048177,1045850,47.5887592500076,0.975859859004486
outconst,Mul_16b,True,0.01,,False,0.007,0.004,526406.919,508532.126,9.605,9.512,1048177,1045850,91.8746166920028,0.968489638966033
outconst,Mul_16b,False,0.05,,False,0.04,0.034,4157730.077,4364502.49,11.079,11.047,8388209,8376544,38.7409000939952,0.971694082461013
outconst,Mul_16b,True,0.05,,False,0.04,0.034,4157730.077,4364502.49,11.079,11.047,8388209,8376544,70.269306260001,0.947447126682333
outconst,Mul_16b,False,0.1,,False,0.07,0.065,8444896.897,9075346.392,11.59,11.608,16774144,16765152,35.3962734880042,0.970305490279855
outconst,Mul_16b,True,0.1,,False,0.07,0.065,8444896.897,9075346.392,11.59,11.608,16774144,16765152,62.9552612469997,0.943708609271523
outconst,BK_16b,False,0.01,,False,0.005,0.006,254.727,253.815,4.503,4.488,511,511,6.76921562200005,0.71011673151751
outconst,BK_16b,True,0.01,,False,0.005,0.006,254.727,253.815,4.503,4.488,511,511,10.0531000569899,0.678988326848249
outconst,BK_16b,False,0.05,,False,0.043,0.044,2050.211,2052.235,6.008,5.996,4095,4094,5.93052954200539,0.607003891050584
outconst,BK_16b,True,0.05,,False,0.043,0.044,2050.211,2052.235,6.008,5.996,4095,4094,8.74672783599817,0.556420233463035
outconst,BK_16b,False,0.1,,False,0.086,0.087,4097.897,4111.926,6.508,6.499,8191,8190,7.46431288500025,0.573929961089494
outconst,BK_16b,True,0.1,,False,0.086,0.087,4097.897,4111.926,6.508,6.499,8191,8190,10.9400471219997,0.494163424124514
outconst,CSkipA_16b,False,0.01,,False,0.005,0.005,255.509,257.93,4.496,4.51,511,511,6.78888818999985,0.71011673151751
outconst,CSkipA_16b,True,0.01,,False,0.005,0.005,255.509,257.93,4.496,4.51,511,511,9.96528338099597,0.663424124513619
outconst,CSkipA_16b,False,0.05,,False,0.043,0.043,2049.734,2043.619,5.997,6.005,4095,4095,5.94664540499798,0.607003891050584
outconst,CSkipA_16b,True,0.05,,False,0.043,0.043,2049.734,2043.619,5.997,6.005,4095,4095,8.715014669011,0.535019455252918
outconst,CSkipA_16b,False,0.1,,False,0.086,0.085,4104.335,4103.66,6.499,6.508,8191,8191,7.51438730700465,0.573929961089494
outconst,CSkipA_16b,True,0.1,,False,0.086,0.085,4104.335,4103.66,6.499,6.508,8191,8191,10.9185767589952,0.527237354085603
outconst,KS_16b,False,0.01,,False,0.005,0.006,254.987,254.577,4.495,4.502,511,511,6.69597984998836,0.854814814814815
outconst,KS_16b,True,0.01,,False,0.005,0.006,254.987,254.577,4.495,4.502,511,511,5.7344730229961,0.503703703703704
outconst,KS_16b,False,0.05,,False,0.043,0.044,2033.694,2058.752,5.987,6.01,4095,4095,6.79831563400512,0.797037037037037
outconst,KS_16b,True,0.05,,False,0.043,0.044,2033.694,2058.752,5.987,6.01,4095,4095,9.11249678400054,0.434074074074074
outconst,KS_16b,False,0.1,,False,0.086,0.087,4078.758,4131.568,6.486,6.516,8190,8191,5.51830255500681,0.777777777777778
outconst,KS_16b,True,0.1,,False,0.086,0.087,4078.758,4131.568,6.486,6.516,8190,8191,6.90158212800452,0.391111111111111
outconst,LFA_16b,False,0.01,,False,0.005,0.005,254.36,255.28,4.489,4.513,511,511,6.85362286900636,0.71011673151751
outconst,LFA_16b,True,0.01,,False,0.005,0.005,254.36,255.28,4.489,4.513,511,511,10.2676179539994,0.671206225680934
outconst,LFA_16b,False,0.05,,False,0.043,0.042,2042.138,2035.887,5.986,6.006,4095,4095,5.91305700399971,0.607003891050584
outconst,LFA_16b,True,0.05,,False,0.043,0.042,2042.138,2035.887,5.986,6.006,4095,4095,8.94071450800402,0.566147859922179
outconst,LFA_16b,False,0.1,,False,0.086,0.085,4108.581,4081.435,6.49,6.505,8191,8191,7.45527112200216,0.573929961089494
outconst,LFA_16b,True,0.1,,False,0.086,0.085,4108.581,4081.435,6.49,6.505,8191,8191,11.1244107380044,0.5
outconst,WT_8b,False,0.01,,False,0.008,,14.25,,2.016,,31,,38.5495130129984,0.968330134357006
outconst,WT_8b,True,0.01,,False,0.007,,14,,1.766,,30,,49.9999741310003,0.953454894433781
outconst,WT_8b,False,0.05,,False,0.028,,61.75,,3.004,,127,,42.1922500860001,0.953454894433781
outconst,WT_8b,True,0.05,,False,0.028,,61.75,,3.004,,127,,25.2188809460004,0.935700575815739
outconst,WT_8b,False,0.1,,False,0.085,,250.906,,3.992,,511,,51.0771656870002,0.938579654510557
outconst,WT_8b,True,0.1,,False,0.085,,250.906,,3.992,,511,,37.2554604470006,0.929462571976968
outconst,int2float,False,0.01,,False,0,,0,,0,,0,,0.694526671000858,1
outconst,int2float,True,0.01,,False,0,,0,,0,,0,,3.04388894100157,0.985352862849534
outconst,int2float,False,0.05,,False,0.05,,5.989,,2.787,,11,,1.63142842299931,0.729693741677763
outconst,int2float,True,0.05,,False,0.05,,5.989,,2.787,,11,,3.72395651700026,0.656458055925433
outconst,int2float,False,0.1,,False,0.05,,5.989,,2.787,,11,,1.55104450100043,0.716378162450067
outconst,int2float,True,0.1,,False,0.05,,5.989,,2.787,,11,,3.32024084800105,0.656458055925433
outconst,RCA_4b,False,0.01,,False,0,,0,,0,,0,,0.235616812999069,1
outconst,RCA_4b,True,0.01,,False,0,,0,,0,,0,,1.64579314199909,0.985074626865672
outconst,RCA_4b,False,0.05,,False,0.047,,0.5,,0.5,,1,,0.176593809999758,0.873134328358209
outconst,RCA_4b,True,0.05,,False,0.047,,0.5,,0.5,,1,,0.902434597001047,0.888059701492537
outconst,RCA_4b,False,0.1,,False,0.047,,0.5,,0.5,,1,,0.194604735999746,0.873134328358209
outconst,RCA_4b,True,0.1,,False,0.047,,0.5,,0.5,,1,,0.90376521700091,0.888059701492537
outconst,dec,False,0.01,,False,0.008,,0.043,,0.012,,10,,0.421881665999535,0.993700787401575
outconst,dec,True,0.01,,False,0.008,,0.043,,0.012,,10,,2.35908328599908,0.993700787401575
outconst,dec,False,0.05,,False,0.047,,2.707,,0.07,,320,,0.757933025999591,0.962204724409449
outconst,dec,True,0.05,,False,0.047,,2.707,,0.07,,320,,3.46025300099973,0.962204724409449
outconst,dec,False,0.1,,False,0.098,,335.957,,0.148,,40960,,1.70454449000135,0.921259842519685
outconst,dec,True,0.1,,False,0.098,,335.957,,0.148,,40960,,6.30853565400139,0.923622047244095
outconst,sobel,False,0.01,,False,0.002,0.002,0.499,0.495,0.499,0.495,1,1,7.0184283560011,0.998882057015092
outconst,sobel,True,0.01,,False,0.002,0.002,0.499,0.495,0.499,0.495,1,1,12.0169991639996,0.878144214645053
outconst,sobel,False,0.05,,False,0.026,0.026,5.045,4.962,2.011,1.987,7,7,9.90693013700002,0.98351034097261
outconst,sobel,True,0.05,,False,0.026,0.026,5.045,4.962,2.011,1.987,7,7,15.643007345001,1.09530463946339
outconst,sobel,False,0.1,,False,0.057,0.058,11.081,11.026,2.766,2.745,15,15,11.8507494669993,0.972889882615986
outconst,sobel,True,0.1,,False,0.057,0.058,11.081,11.026,2.766,2.745,15,15,18.0515075469993,1.11878144214645
outconst,BK_32b,False,0.01,,False,0.005,0.005,16770194.08,16702458.653,12.493,12.459,33553429,33552683,13.9511342829992,0.591817316841104
outconst,BK_32b,True,0.01,,False,0.005,0.005,16770194.08,16702458.653,12.493,12.459,33553429,33552683,19.5438331339992,0.502378686964795
outconst,BK_32b,False,0.05,,False,0.043,0.043,134249034.728,133532722.804,13.986,13.96,268429695,268426385,13.4677185220007,0.541389153187441
outconst,BK_32b,True,0.05,,False,0.043,0.043,134249034.728,133532722.804,13.986,13.96,268429695,268426385,18.5209730590013,0.469077069457659
outconst,BK_32b,False,0.1,,False,0.086,0.088,268049747.033,268756286.455,14.485,14.464,536845568,536861841,15.1592760499989,0.525214081826832
