method,circuit,resynthesis,error,max_depth,one_tree_per_output,mred,v_mred,med,v_med,hd,v_hd,wce,v_wce,time,area
decision_tree,div_64b,False,,8,False,0.081,3.99,1.6948731120245E+018,1.54427439681673E+019,,,4.92524703527761E+019,4.92886944836487E+019,23.501844657,0.0375726220262075
decision_tree,div_64b,False,,8,True,87.165,515.264,6.3105430282947E+020,1.8864732236859E+021,,,1.40122497909858E+021,1.33010522011355E+022,23.0975556779999,0.0201115304694457
decision_tree,div_64b,True,,8,False,0.277,4.023,2.41608909880959E+018,1.40045517550169E+019,,,4.45550888815278E+019,4.92886944836487E+019,25.0159621349999,0.0374241974470972
decision_tree,div_64b,True,,8,True,80.957,378.818,5.71634763641094E+020,7.25672242320388E+020,,,1.42E+021,1.43635958891662E+021,24.0751807450001,0.0200055129129384
decision_tree,sobel,False,,3,False,0.503,0.517,43.171,42.799,1.976,2.025,249,249,0.475665801000105,0.0092230296254891
decision_tree,sobel,False,,3,True,0.503,0.517,43.172,42.781,1.977,2.007,248,249,0.570416804000161,0.00503074343208496
decision_tree,sobel,True,,3,False,0.503,0.517,43.171,42.799,1.976,2.025,249,249,0.723800879000009,0.0100614868641699
decision_tree,sobel,True,,3,True,0.503,0.517,43.172,42.781,1.977,2.007,248,249,0.773241304000294,0.00531022917831191
decision_tree,sobel,False,,5,False,0.502,0.517,43.129,42.802,1.934,2.028,249,248,0.537331773000005,0.0352152040245948
decision_tree,sobel,False,,5,True,0.503,0.517,43.125,42.745,1.931,1.972,249,249,0.664422006999303,0.0391280044717719
decision_tree,sobel,True,,5,False,0.502,0.517,43.129,42.802,1.934,2.028,249,248,0.792984224000065,0.0332588038010062
decision_tree,sobel,True,,5,True,0.503,0.517,43.125,42.745,1.931,1.972,249,249,0.932678306000526,0.0394074902179989
decision_tree,sobel,False,,8,False,0.451,0.509,39.049,45.147,1.698,2.338,249,248,1.51867073799986,0.659306875349357
decision_tree,sobel,False,,8,True,0.333,0.485,33.367,51.118,1.494,2.593,240,244,2.65798908399938,1.27641140301845
decision_tree,sobel,True,,8,False,0.451,0.509,39.049,45.147,1.698,2.338,249,248,2.31212331699953,0.648686416992733
decision_tree,sobel,True,,8,True,0.332,0.488,33.19,51.932,1.495,2.599,241,244,4.13389565000034,1.27221911682504
decision_tree,square_64b,False,,3,False,0.396,0.349,2.08575488475717E+037,1.70446368573153E+037,47.275,58.957,1.39212667289266E+038,6.78426854644207E+037,12.5581312410004,0.0074990899162723
