method,circuit,resynthesis,error,max_depth,one_tree_per_output,mred,v_mred,med,v_med,hd,v_hd,wce,v_wce,time,area
inconst,WT_8b,True,0.1,,False,0.046,,71.828,,4.757,,155,,36.720923158,0.780230326295586
inconst,int2float,False,0.01,,False,0.007,,0.792,,0.17,,41,,0.830097199999727,0.945406125166445
inconst,int2float,True,0.01,,False,0.008,,0.624,,0.081,,69,,2.90580548700018,0.804260985352863
inconst,int2float,False,0.05,,False,0.031,,3.163,,0.51,,70,,0.871513673999289,0.898801597869507
inconst,int2float,True,0.05,,False,0.037,,3.918,,0.686,,90,,3.86203067300085,0.505992010652463
inconst,int2float,False,0.1,,False,0.068,,7.01,,1.103,,112,,1.02236627100137,0.876165113182424
inconst,int2float,True,0.1,,False,0.094,,6.417,,0.963,,135,,3.67225173100087,0.340878828229028
inconst,RCA_4b,False,0.01,,False,0,,0,,0,,0,,0.228381327999159,1
inconst,RCA_4b,True,0.01,,False,0,,0,,0,,0,,1.65043932899971,0.985074626865672
inconst,RCA_4b,False,0.05,,False,0.021,,0.25,,0.234,,2,,0.229841107000539,0.955223880597015
inconst,RCA_4b,True,0.05,,False,0.021,,0.25,,0.234,,2,,1.38964768699952,0.917910447761194
inconst,RCA_4b,False,0.1,,False,0.085,,1,,1.438,,2,,0.179525696999917,0.880597014925373
inconst,RCA_4b,True,0.1,,False,0.085,,1,,1.438,,2,,0.908822364999651,0.604477611940299
inconst,dec,False,0.01,,False,0,,0,,0,,0,,0.578428697999698,1
inconst,dec,True,0.01,,False,0,,0,,0,,0,,3.63155711700165,1
inconst,dec,False,0.05,,False,0,,0,,0,,0,,0.687945593999757,1
inconst,dec,True,0.05,,False,0,,0,,0,,0,,3.10658497999975,1
inconst,dec,False,0.1,,False,0,,0,,0,,0,,0.539724123000269,1
inconst,dec,True,0.1,,False,0,,0,,0,,0,,3.04065444100161,1
inconst,sobel,False,0.01,,False,0.008,0.023,1.073,0.986,0.481,0.465,130,122,4.30418110800019,0.994130799329234
inconst,sobel,True,0.01,,False,0.008,0.023,1.073,0.986,0.481,0.465,130,122,7.75552615000015,1.03689211850196
inconst,sobel,False,0.05,,False,0.044,0.052,5.844,6.119,1.168,1.202,136,131,15.9546602600003,0.929290106204584
inconst,sobel,True,0.05,,False,0.027,0.055,3.507,3.39,1.013,1.021,143,144,10.5845649570001,0.937115707098938
inconst,sobel,False,0.1,,False,0.086,0.095,10.465,10.604,1.438,1.467,171,146,29.2572983800001,0.870318613750699
inconst,sobel,True,0.1,,False,0.095,0.124,13.566,14.327,1.555,1.606,244,223,30.3762719020015,0.762996087199553
inconst,BK_32b,False,0.01,,False,0.008,0.008,25073712.48,24877939.891,13.495,13.445,66717866,66373359,32.4660366589997,0.25023786869648
inconst,BK_32b,True,0.01,,False,0.007,0.007,22338648.569,22307276.348,13.961,13.999,66558868,66370629,15.2649070530006,0.170313986679353
inconst,BK_32b,False,0.05,,False,0.044,0.045,144604887.323,147095501.958,14.942,14.957,401280229,396219500,40.340656669001,0.137012369172217
inconst,BK_32b,True,0.05,,False,0.03,0.029,89667751.06,89524208.683,14.963,14.921,267611550,264170364,15.4008602930007,0.106565176022835
inconst,BK_32b,False,0.1,,False,0.087,0.086,289686319.642,294371597.398,15.421,15.424,797499575,794837239,41.6383886420008,0.10941960038059
inconst,BK_32b,True,0.1,,False,0.06,0.059,179303220.643,179554971.07,15.433,15.406,533457527,526399053,14.5722877190001,0.0761179828734539
inconst,KS_32b,False,0.01,,False,0.003,0.003,9120411.911,9022589.517,13.009,13.004,25076293,24883823,54.573603883,0.279602750190986
inconst,KS_32b,True,0.01,,False,0.007,0.008,22446812.281,22777756.57,14.009,14.023,66880512,66827031,14.2430565459999,0.146676852559206
inconst,KS_32b,False,0.05,,False,0.011,0.012,36332762.428,36483581.179,14.015,13.973,100375658,99663123,62.7633085480011,0.212375859434683
inconst,KS_32b,True,0.05,,False,0.029,0.03,90060452.308,90130449.135,14.988,14.989,266204651,264218722,14.3730154509994,0.0855614973262032
inconst,KS_32b,False,0.1,,False,0.049,0.05,146062800.713,144022626.67,14.974,14.975,400422211,396390544,74.6712440889987,0.147440794499618
inconst,KS_32b,True,0.1,,False,0.059,0.062,179341774.997,179810495.737,15.454,15.468,533773516,532654178,13.5424964059985,0.0611153552330023
inconst,DTree,False,0.25,,False,0.247,0.262,1.115,1.07,0.307,0.3,15,15,20.0302628049976,0.772394136807818
inconst,DTree,True,0.25,,False,0.14,0.136,0.408,0.382,0.142,0.135,15,15,31.1196512239985,0.557410423452769
inconst,DTree,False,0.5,,False,0.409,0.43,1.343,1.302,0.385,0.367,16,15,13.7308103999967,0.697882736156352
inconst,DTree,True,0.5,,False,0.423,0.444,1.352,1.316,0.347,0.34,15,15,22.9415335369995,0.465798045602606
inconst,barshift_128b,False,0.25,,False,0.012,0.014,2.03016005213143E+036,1.49011906466156E+036,0.995,1.035,1.70141183460469E+038,1.70141183460469E+038,23.4313796890056,0.997502881290818
inconst,barshift_128b,True,0.25,,False,0.012,0.014,2.03016005213143E+036,1.49011906466156E+036,0.995,1.035,1.70141183460469E+038,1.70141183460469E+038,51.5866953740042,0.995293891663465
inconst,barshift_128b,False,0.5,,False,0.012,0.014,2.03016005213143E+036,1.49011906466156E+036,0.995,1.035,1.70141183460469E+038,1.70141183460469E+038,23.4746850820084,0.997502881290818
inconst,barshift_128b,True,0.5,,False,0.012,0.014,2.03016005213143E+036,1.49011906466156E+036,0.995,1.035,1.70141183460469E+038,1.70141183460469E+038,51.3396660529979,0.995293891663465
inconst,sobel,False,0.25,,False,0.219,0.238,25.888,26.512,1.985,2.04,230,200,128.179591399996,0.670206819452208
inconst,sobel,True,0.25,,False,0.195,0.187,22.792,22.429,1.817,1.79,164,174,29.3129899930063,0.360816098378983
inconst,sobel,False,0.5,,False,0.476,0.493,59.18,58.93,2.975,2.935,247,249,796.628524319996,0.38848518725545
inconst,sobel,True,0.5,,False,0.443,0.453,67.058,66.674,3.681,3.642,165,165,11.0304029060062,0
inconst,BK_32b,False,0.25,,False,0.164,0.163,581960379.047,586524541.729,15.858,15.869,1600669727,1597606926,24.8710165230004,0.0732635585156993
inconst,BK_32b,True,0.25,,False,0.164,0.163,581960379.047,586524541.729,15.858,15.869,1600669727,1597606926,9.29149351399974,0.0428163653663178
inconst,BK_32b,False,0.5,,False,0.275,0.271,721307997.694,726102338.152,16.236,16.198,2132260734,2110327125,23.5920277139958,0.0294957183634634
inconst,BK_32b,True,0.5,,False,0.275,0.271,721307997.694,726102338.152,16.236,16.198,2132260734,2110327125,6.80204704099742,0.0142721217887726
inconst,KS_32b,False,0.25,,False,0.125,0.134,358814635.079,363914973.287,15.888,15.915,1061894955,1069525258,44.7858154970018,0.0641711229946524
inconst,KS_32b,True,0.25,,False,0.138,0.148,374538429.8,381908739.966,15.871,15.909,1200315179,1204343887,12.0223711029976,0.0343773873185638
inconst,KS_32b,False,0.5,,False,0.308,0.314,1173053180.764,1173979424.394,16.145,16.129,3209378603,3163434155,43.6387191429967,0.040488922841864
inconst,KS_32b,True,0.5,,False,0.285,0.301,721597728.019,728606823.67,16.24,16.281,2234619228,2199527023,7.86057711699687,0.0114591291061879
inconst,CLA_16b,False,0.25,,False,0.124,0.121,5455.507,5514.876,7.866,7.862,16346,16203,11.6052787240042,0.134191176470588
inconst,CLA_16b,True,0.25,,False,0.163,0.162,8852.686,9010.027,7.857,7.934,24330,24390,7.56173029600177,0.0827205882352941
inconst,CLA_16b,False,0.5,,False,0.267,0.257,10896.958,10862.726,8.239,8.231,32527,32445,12.1335522869922,0.0753676470588235
inconst,CLA_16b,True,0.5,,False,0.362,0.359,20503.546,20580.638,8.245,8.288,48906,48824,8.15098068899533,0.0386029411764706
inconst,BK_16b,False,0.25,,False,0.166,0.168,8917.164,8866.655,7.893,7.871,24526,24393,10.8812903560029,0.147859922178988
inconst,BK_16b,True,0.25,,False,0.2,0.21,7421.651,7523.814,7.848,7.9,27036,27238,6.35708347200125,0.105058365758755
inconst,BK_16b,False,0.5,,False,0.419,0.42,24581.029,24459.986,8.26,8.232,65486,65353,10.4236329210107,0.118677042801556
inconst,BK_16b,True,0.5,,False,0.398,0.413,14158.856,14213.99,8.233,8.274,43386,43222,7.4235372569965,0.0291828793774319
inconst,CSkipA_16b,False,0.25,,False,0.165,0.165,8884.46,8876.276,7.865,7.874,24448,24311,10.4027482800011,0.147859922178988
inconst,CSkipA_16b,True,0.25,,False,0.201,0.201,7451.478,7507.738,7.863,7.906,27173,26974,6.22139983800298,0.105058365758755
inconst,CSkipA_16b,False,0.5,,False,0.421,0.421,24737.376,24670.27,8.257,8.256,65408,65271,10.3733695460105,0.118677042801556
inconst,CSkipA_16b,True,0.5,,False,0.399,0.396,14091.34,14070.047,8.224,8.267,43540,43358,7.20547383399389,0.0291828793774319
inconst,KS_16b,False,0.25,,False,0.193,0.198,10181.805,10381.423,7.417,7.477,40896,40768,15.9292731409951,0.18962962962963
inconst,KS_16b,True,0.25,,False,0.19,0.195,7031.311,7089.447,7.866,7.91,26550,26429,6.80650370099465,0.08
inconst,KS_16b,False,0.5,,False,0.357,0.355,20554.777,20250.714,7.859,7.904,81724,81148,17.6400793130015,0.112592592592593
inconst,KS_16b,True,0.5,,False,0.289,0.295,11053.047,11015.176,8.251,8.257,34431,34474,7.48046573199099,0.0222222222222222
inconst,LFA_16b,False,0.25,,False,0.164,0.164,8861.645,8878.233,7.853,7.878,24424,24405,11.030708995997,0.147859922178988
inconst,LFA_16b,True,0.25,,False,0.127,0.128,5469.663,5469.475,7.893,7.854,16419,16506,8.16751590299828,0.0875486381322957
inconst,LFA_16b,False,0.5,,False,0.417,0.417,24460.348,24646.445,8.23,8.255,65342,64927,10.3144844769995,0.118677042801556
inconst,LFA_16b,True,0.5,,False,0.272,0.272,10851.208,10965.198,8.271,8.243,32701,32840,7.37486956000794,0.0291828793774319
inconst,WT_8b,False,0.25,,False,0.177,,230.242,,4.953,,384,,98.4281864030054,0.820537428023033
inconst,WT_8b,True,0.25,,False,0.227,,295.605,,5.344,,488,,49.7426193239953,0.651151631477927
inconst,WT_8b,False,0.5,,False,0.312,,414.957,,5.312,,640,,95.1903414800036,0.818618042226488
inconst,WT_8b,True,0.5,,False,0.429,,579.236,,5.852,,872,,38.6726510730077,0.636756238003839
inconst,int2float,False,0.25,,False,0.245,,20.001,,3.006,,147,,2.47058942700096,0.524633821571238
inconst,int2float,True,0.25,,False,0.246,,20.962,,3.707,,127,,3.1420396649919,0
inconst,int2float,False,0.5,,False,0.499,,61.146,,3.649,,100,,6.31099979199644,0.101198402130493
inconst,int2float,True,0.5,,False,0.246,,20.962,,3.707,,127,,3.13014444299915,0
inconst,RCA_4b,False,0.25,,False,0.136,,1.375,,1.875,,4,,0.265403844998218,0.544776119402985
inconst,RCA_4b,True,0.25,,False,0.142,,1.812,,1.875,,5,,1.27115671501088,0.335820895522388
inconst,RCA_4b,False,0.5,,False,0.288,,2.688,,2.25,,8,,0.267258243999095,0.238805970149254
inconst,RCA_4b,True,0.5,,False,0.456,,7.852,,2.5,,27,,0.892626554006711,0.0671641791044776
inconst,dec,False,0.25,,False,0,,0,,0,,0,,0.522748187999241,1
inconst,dec,True,0.25,,False,0,,0,,0,,0,,2.90484330100298,1
inconst,dec,False,0.5,,False,0.438,,6.58620454400363E+036,,0.656,,8.50705917302346E+038,,0.441206212010002,0.995275590551181
inconst,dec,True,0.5,,False,0.438,,6.58620454400363E+036,,0.656,,8.50705917302346E+038,,1.87430696400406,0.605511811023622
